"city_name","city_id"
"Hamirpur(UP)","889"
"Bihar Sharif","890"
"Rampura Phul","891"
"Diglipur","892"
"Hindaun","893"
"Jamui","894"
"Dalkhola","895"
"Vikarabad","896"
"Peddapalli","897"
"Sangareddi","898"
"Siddipet","899"
"Zahirabad","900"
"Kamareddy","902"
"Armoor","903"
"Huzurabad","904"
"Hanamkonda","905"
"Mahabubabad","906"
"Parkal","907"
"Jangaon","908"
"Bhadrachalam","909"
"Bhuvanagiri","910"
"Miryalaguda","911"
"Wanaparthy","912"
"Avanigadda","913"
"Tekkali","914"
"Gadwal","915"
"Jadcherla","916"
"Amalapuram","917"
"Kothapeta","918"
"Bapatla","919"
"Tenali","920"
"Razole","921"
"Ramachandrapuram","922"
"Mandapeta","923"
"Dharmavaram","924"
"Repalle","925"
"Sattenapalli","926"
"Samalkota","927"
"Guntakal","928"
"Rajampet","929"
"Mangalagiri","930"
"Chilakaluripet","931"
"Tadepalligudem","932"
"Proddatur","933"
"Kandukur","934"
"Addanki","935"
"Kanigiri","936"
"Attili","937"
"Tanuku","938"
"Palakol","939"
"Chandragiri","940"
"Markapur","941"
"Dargamitta","942"
"Gudur","943"
"Madanapalle","944"
"Palamaner","945"
"Narsipatnam","946"
"Srikalahasti","947"
"Parvathipuram","948"
"Bobbili","949"
"Adoni","950"
"Anakapalle","951"
"Chodavaram","952"
"Nandyal","953"
"Allagadda","954"
"Buckinghampet","955"
"Amudalavalasa","956"
"Ranga reddy","957"
"Madhapur","958"
"Changlang","959"
"Kurung Kumey","960"
"Lower Subansiri","961"
"Tawang","962"
"Tirap","963"
"West Kameng","964"
"West Siang","965"
"Arunachal Pradesh","966"
"Darrang","967"
"Goalpara","968"
"Karbi Anglong","969"
"Nalbari","970"
"Sonitpur","971"
"Nowgong","972"
"Mangaldai","973"
"Anandpur","974"
"Nalanda","975"
"Buxar","976"
"Bhojpur","977"
"Bettiah","978"
"Laheriasarai","979"
"Madhubani","980"
"Aurangabad(bh)","981"
"East Champaran","982"
"Gopalganj","983"
"Lakhisarai","984"
"Madhepura","985"
"Saran","986"
"Sitamarhi","987"
"West Champaran","988"
"Arwal","989"
