city_id_city,pincode_id
305,262309
306,248001
308,262402
309,246001
310,262501
311,246141
312,249001
313,244712
314,249128
316,713201
317,721301
318,700001
319,734004
320,500003
321,520003
322,180001
323,575001
324,580020
325,683591
326,695001
327,201301
328,201001
329,221001
330,786125
331,403407
332,370201
333,175001
334,140103
335,781004
336,782001
337,785001
338,785675
339,788001
340,494001
341,495118
342,382710
343,175013
344,679105
345,441205
346,793001
347,141401
348,737101
349,799006
350,245206
351,273001
352,284001
353,247667
354,263139
355,713301
356,732104
357,403802
358,396191
359,679322
360,410406
361,533101
362,490001
363,362001
364,383001
365,583201
367,224001
368,744103
369,517503
370,783373
371,785601
372,842001
373,385001
374,181221
375,182101
376,571213
377,581350
378,413510
379,415202
380,759037
382,147301
383,144415
384,140001
385,263153
386,306001
387,331024
388,629001
389,626130
390,641603
391,223221
392,243001
393,201308
394,281001
395,244001
396,247771
397,712410
398,711101
399,473001
400,272001
401,768027
402,323001
403,246701
404,475110
405,274001
406,335063
407,690502
408,396230
409,814101
410,712101
411,768201
412,242001
413,497001
414,733123
416,445001
417,431515
418,741102
419,305026
420,769002
421,229408
422,431509
423,389001
424,733131
425,370001
426,742101
427,682316
428,400701
429,327001
430,312001
431,247001
433,625107
434,764001
435,781022
436,757002
438,785612
439,735211
441,683102
442,635109
443,534203
444,787001
445,811106
447,413102
448,400208
449,321001
450,305921
451,201005
452,505208
453,136135
455,144203
456,148100
457,144040
458,177203
459,331001
460,450221
461,695101
463,741101
464,231217
465,222301
466,799007
467,614601
468,824231
469,176403
470,421001
471,802301
472,494010
473,822101
474,783360
475,222001
476,845401
478,803109
479,523001
480,854102
481,841203
482,791110
483,791109
484,786602
485,421301
486,403722
487,673310
488,500082
489,609601
490,410506
491,400703
492,313326
493,394601
494,794001
495,413207
496,121102
497,231216
498,331025
499,846001
501,401210
502,422605
503,140401
504,642001
505,825101
506,533001
507,689101
508,122050
509,689641
510,686101
511,686575
512,686605
513,688524
514,685508
515,685584
517,643001
518,670644
519,486886
520,144205
521,781301
522,782413
523,814111
525,683572
526,736182
527,403507
528,814112
529,403713
530,690518
531,676101
532,403501
533,241001
534,682555
535,713148
536,192101
537,244713
538,783127
539,763001
540,493662
541,680519
542,384170
543,441601
544,425409
545,690521
546,322001
547,612501
548,562114
549,382305
550,670307
551,303901
552,389130
553,691566
554,246401
555,203001
556,523155
558,205001
559,133302
560,691305
561,344022
562,416405
563,441802
565,304001
566,562106
567,192123
568,679503
569,835213
570,177101
571,144401
572,574227
573,394248
574,413405
575,733134
576,204101
577,600052
578,271001
579,335804
580,496001
581,680567
582,690101
583,680681
584,500018
585,610001
586,423107
587,416410
588,813208
589,521301
590,521201
591,121004
592,370140
593,132114
594,415604
595,431114
596,670141
597,384325
598,325205
599,401501
600,421201
601,176207
602,682301
603,384315
605,181102
606,767001
607,744201
608,224122
609,575014
610,193101
611,505327
612,679303
613,757001
614,574104
615,209801
616,144505
618,134203
620,181201
622,142047
623,641301
624,135133
625,383315
626,387810
627,671315
628,250611
629,231225
630,422103
631,122103
632,416502
633,534001
634,759001
635,144204
636,493332
637,493885
638,721401
639,486885
640,285001
641,142026
642,679329
644,444105
645,491229
646,799250
647,695121
648,303103
649,680664
650,384110
651,382870
652,173025
654,131301
655,492112
656,141115
657,136034
658,305404
659,562108
660,412207
661,344001
663,152118
664,574154
665,801503
666,221701
667,144527
668,131028
669,560060
670,314001
671,307001
672,752024
673,416520
674,680121
675,140507
676,683104
677,521175
678,691535
679,144216
681,389260
682,413101
683,638452
684,140301
685,132101
687,193221
688,679576
689,326001
690,576201
691,303004
692,303108
693,680503
694,146105
695,412219
696,362265
697,495552
698,676121
699,431401
700,416602
701,301701
702,581301
703,423203
704,403702
705,244701
706,123003
709,793200
710,626117
712,176201
713,403206
714,184101
715,713150
716,673101
717,201204
719,305901
720,815301
721,410203
722,143115
723,574201
724,583227
725,415506
726,630001
727,522601
728,686691
729,242021
730,504208
731,731101
733,125033
734,413709
735,413106
737,683542
738,152107
739,362730
740,680582
741,721604
742,574239
743,152024
745,341303
746,210001
747,534447
748,431133
749,176202
750,416115
752,415124
753,676553
754,382220
755,572201
756,403401
757,364710
758,676503
759,584128
760,410504
761,360311
762,504106
763,210421
764,303702
765,147105
766,791102
767,402201
768,673633
769,841301
770,500068
771,686507
772,783332
773,787026
774,793102
775,731102
776,700051
777,603001
778,627002
779,721636
780,700125
782,402301
783,151502
784,121106
785,723101
786,766001
787,284122
788,673573
789,678582
790,562101
791,305801
792,124112
793,412301
794,261001
795,311602
796,637211
797,209501
799,401601
800,332713
801,313205
802,140406
804,581318
805,212601
806,333026
807,641402
808,712601
809,209720
810,147201
811,731204
812,743235
813,412210
814,392110
815,689121
816,680619
817,313301
818,141421
819,441206
820,332402
821,382715
822,224116
823,764062
824,135003
825,712101
826,342310
828,629202
829,673305
830,695502
831,401303
832,335523
833,465674
834,413701
835,524201
836,445304
837,847301
838,174301
840,271801
841,743411
842,609001
843,413304
844,788166
845,591201
846,782103
847,680506
848,574241
