v_model_name,v_model_id
6055 T20,7374
6060,5814
6065,7371
6065 Executive,7370
6065 Executive 4X4,7369
6065 Supermaxx,8193
6075,5734
6080 Pro,5891
6080 X Pro,8196
6090 Pro,5735
609g SFC,6417
610 LPK,9539
610 LPT,9331
610 SFC,6418
610 SFC TT,6943
610 SK,6419
6110 B,8167
612,271
6120 B,8153
62 S,830
63501 8X8,6317
6460 6x4,6318
650 GT,7483
650 MT,7481
650 NK,7482
6500 Turbo Super,5802
6510,8282
65111 6X6,6319
65115 6X4,6320
65117 6X4,6321
6520 6x4,6322
65201 8X4,6323
6522 6X6,6324
65221 6X6,6325
65222 6X6,6326
65226 6X6,6327
65228 8X8,6328
6540 8x4,8895
6549,5834
6560 8X8,6329
6565 V2 24 gears,8360
6x4 Electric Tipper,9842
7,993
7 Seater SUV,447
7 Series 2007-12,45
7 Series 2012-15,70
7 Series 2015-19,86
7-Series,52
70,5889
700C 21 Speed DD FS MS,8471
709g LPT,6420
709g LPT TT,6421
709g LPT XD,9535
710 LPT,6422
710 SFC,6423
710 SK,9540
712 LPT,6424
717,6208
718,584
720S,9955
724 XM,5926
724 XM ORCHARD,8174
724 XM Orchard NT,8172
7250 DI,5839
7250 Powe Up,8133
7250 SI PowerUp,5805
735 FE,6076
735 XM,8175
735 XT,8171
742 FE,6072
742 XT,6210
744 FE,6190
744 FE Potato Xpert,8173
744 XM,6074
744 XM Potato Expert,8177
744 XT,5740
7500 DI,7360
7500 Turbo Super,5779
752 S,1247
752S,9741
7549,5763
790 Adventure,1541
790 Duke,1539
7999,4125
8 Series,57
8 Series GT,3252
8-12 Years Original 50,3476
80,5815
800,921
8001,13003
8049,5835
812,269
821,1312
825 XM,5929
834 XM,5925
8400 City Bus,8856
841 XM,6067
843 XM,6075
843 XM-OSM,8178
855 DT Plus,6200
855 FE,6047
855 XM,8176
890 Adventure,6802
9000 Planetary Plus,5774
9049,6182
9049 AC,8326
911,569
911 2004 2014,581
911 2014 2016,573
911 2016 2019,585
911 GT3,7644
912 LPK,6425
912 LPT,6426
9120,5816
920,4734
927,7790
932,8292
932 DI,5919
9400,8802
9400 B11R,7449
9400 B8R,7454
9400 Intercity Coach,8818
9400XL Intercity Coach,8649
946 Emporio Armani Edition,1867
9500,5768
9500 E,8138
9500 Smart,8134
955,5833
959 Panigale,1305
960 FE,6065
963 FE,5752
9T Chassis,8723
9T School Bus,8846
9T Staff Bus,8853
9T Tourist Bus,8868
?Pace-E Cargo,9448
A Class 2013 15,949
A Class Sedan Limousine,928
A Star,918
A-Class,965
A1,155
A2,181
A2 Lithium Ion,7793
A211N,5887
A211N-OP,5813
A220 HT,9583
A23,9533
A2B,1407
A3,194
A3 2014-17,173
A3 2023,6689
A3 Cabriolet,200
A30,4423
A4,5444
A4 2008-14,171
A4 2014-16,186
A4 2020,198
A40,834
A5,159
A6,195
A6 2005-09,174
A6 2009 11,161
A6 2011-15,189
A6 2015-19,163
A65,4417
A65 24T,6889
A65 26T,6890
A7,182
A7 2011-15,176
A75,4427
A76,4429
A8 2010-13,193
A8 2014-19,156
A8 2020-2022,202
A85,4421
A85 27.5T,6900
A8L,9284
aaa,9701
aaaa,9939
AB- 310 28T,4181
Abarth,295
Abarth Avventura,285
Abarth Punto,297
ABC,9929
ABCH,9900
abhaytest,9697
ABHIMAN,8351
Abhiman 4X4,6228
ABS 42,12571
ABS 52,12569
Absolute 1.1,7227
Absolute 1.1 D 2014,7223
Absolute 1.3 D 2014,7222
Absolute 1.4 2013,7107
Absolute 1.5 2014,7106
Absolute 1.5 Stagger 2014,7105
Absolute 1.5D,7104
Absolute 1.7 2014,7213
Absolute 1.7 Stagger 2014,7103
Absolute 1.7D,7102
Absolute 1.9 D,7101
Absolute 13,4957
Absolute 17,4956
Absolute 17 St,4955
Absolute 19,4954
Absolute 19 St,4953
Absolute 2.1 2013,7100
Absolute 2.1 2014,7099
