"v_model_name","v_model_id"
"Speed 400","10073"
"Xoom 110","10074"
"Atria","10097"
"Himalayan","10103"
"NTORQ 125","10104"
"Pulsar NS160","10105"
"Splendor Plus Xtec","10106"
"Super Splendor","10107"
"testing 12","10110"
"KLX 230RS","10113"
"Dio 125","10119"
"Dio 125","10120"
"KX65","10123"
"KX112","10124"
"Panigale V4","10125"
"Street Triple ABS","10126"
"Xdiavel","10127"
"Xdiavel","10129"
"Xpulse 200 BS6","10130"
"Road King","10131"
"Beamer","10132"
"42 2.1","10133"
"Testing 4","10137"
"Spectra","10143"
"Spectra Pro","10144"
"Spectra","10145"
"Vesper","10146"
"Ozoine","10147"
"Ozoine","10148"
"Ozoine","10151"
"Ozone","10152"
"Spectra","10153"
"Vesper","10154"
"Apache RTR 160 4V","10158"
"Apache RTR 160 4V","10160"
"Raider 125","10161"
"XTREME 200S 4V","10165"
"Infinity E1","10174"
"Infinity E1","10175"
"Infinity E1","10192"
"Infinity E1","10193"
"Infinity E1","10195"
"Infinity E1","10197"
"Infinity E1","10201"
"Infinity E1","10202"
"Infinity E1","10203"
"Infinity E1","10204"
"Infinity E1","10205"
"Infinity E1","10206"
"Infinity E1","10207"
"Infinity E1","10208"
"Speed 400","10211"
"Platina 100","10215"
"Platina 110","10216"
"Pulsar P150","10217"
"XTREME 200S 4V","10218"
"XTREME 200S 4V","10234"
"Infinity E1","10235"
"Xtreme 200S 4V","10248"
"Xtreme 200S","10249"
"Apache RTR 160 4V","10263"
"Continental GT 650","10264"
"Apache RTR 200 4V","10265"
"LXS","10267"
"SX25","10268"
"Bziness","10271"
"Milan","10272"
"Elektron","10273"
"Plasma","10274"
"Ambier N8","10276"
"Speed 400","10293"
"LXS G 2.0","10301"
"LXS G 2.0","10303"
"LXS G 2.0","10307"
"Classic 350","10316"
"Pulsar NS200","10317"
"Bullet 350","10318"
"Activa","10320"
"EV13","10321"
"Pulsar NS 125","10322"
"Electric  12","10323"
"Duke 200","10324"
"HF Deluxe","10325"
"MT 15","10326"
"Splendor Plus","10327"
"R15 V4","10328"
"SP 125","10329"
"Pulsar NS200","10330"
"Bullet 350","10331"
"Classic 350","10332"
"NTORQ 125","10340"
"NTORQ 125","10341"
"NTORQ 125","10342"
"S1 Pro","10343"
"Simple One","10344"
"Pulsar RS200","10345"
"Ronin 225","10346"
"Ronin 225","10347"
"Forty Two","10348"
"Pulsar 220F","10349"
"Pulsar 220F","10350"
"Pulsar 220F","10351"
"Apache RTR 160","10352"
"Apache RTR 200 4V","10353"
"EV 134","10364"
"EV 67","10365"
"EV 67","10372"
"EV 90","10373"
"Simple One","10379"
"Simple One","10380"
"Apache RTR 200 4V","10386"
"Apache RTR 160","10387"
"Pulsar 220F","10388"
