pincode,city_id
533292,5
533293,5
533294,5
533295,5
533296,5
533297,5
533305,5
533306,5
533307,5
533309,5
533339,5
533340,5
533341,5
533342,5
533343,5
533344,5
533345,5
533346,5
533406,5
533407,5
533408,5
533428,5
533429,5
533430,5
533431,5
533432,5
533433,5
533434,5
533435,5
533436,5
533437,5
533440,5
533444,5
533445,5
533446,5
533447,5
533448,5
533449,5
533450,5
533461,5
533462,5
533463,5
533464,5
533468,5
533483,5
533577,5
531110,5
533007,5
533008,5
533014,5
533133,5
533202,5
533203,5
533219,5
533224,5
533225,5
533226,5
533227,5
533230,5
533243,5
533258,5
533271,5
533275,5
533333,5
533410,5
533439,5
533503,5
533514,5
533541,5
533551,5
533554,5
533557,5
533566,5
533583,5
533350,5
533352,5
533349,5
533347,5
533348,5
533351,5
522001,6
522002,6
522003,6
522004,6
522005,6
522006,6
522007,6
522009,6
522015,6
522016,6
522017,6
522018,6
522019,6
522020,6
522034,6
522102,6
522111,6
522112,6
522113,6
522124,6
522202,6
522211,6
522212,6
522213,6
522233,6
522234,6
522235,6
522236,6
522237,6
522256,6
522257,6
522258,6
522259,6
522261,6
522262,6
522264,6
522268,6
522301,6
522302,6
522303,6
522304,6
522305,6
522306,6
522307,6
522308,6
522309,6
522310,6
522311,6
522312,6
522313,6
522314,6
522315,6
522316,6
522317,6
522318,6
522324,6
522325,6
522329,6
522330,6
522341,6
522401,6
522402,6
522403,6
522408,6
522409,6
522410,6
522411,6
522412,6
522413,6
522414,6
522415,6
522421,6
522426,6
522435,6
522436,6
522437,6
522438,6
522439,6
522501,6
522502,6
522503,6
522508,6
522509,6
522510,6
522529,6
522549,6
522603,6
522611,6
522612,6
522613,6
522614,6
522615,6
522617,6
522619,6
522626,6
522646,6
522647,6
522649,6
522657,6
522658,6
522659,6
522660,6
522661,6
522663,6
522008,6
522010,6
522013,6
522014,6
522021,6
522022,6
522050,6
522116,6
522123,6
522125,6
522180,6
522214,6
522215,6
522222,6
522238,6
522260,6
522263,6
522266,6
522267,6
522269,6
522270,6
522271,6
522272,6
522273,6
522274,6
522275,6
522276,6
522277,6
522278,6
522279,6
522280,6
522281,6
522282,6
522290,6
522291,6
522292,6
522293,6
522294,6
522295,6
522296,6
522297,6
522298,6
522299,6
522321,6
522332,6
522340,6
522354,6
522407,6
522511,6
522515,6
522620,6
522630,6
522631,6
522655,6
522616,6
522601,6
522101,6
522265,6
522201,6
500001,7
500002,7
500003,7
500004,7
500005,7
500006,7
500007,7
500008,7
500009,7
500010,7
500011,7
500012,7
500013,7
500014,7
500015,7
500016,7
500017,7
500020,7
500022,7
500023,7
500024,7
500025,7
500026,7
500027,7
500028,7
500029,7
500030,7
500031,7
500033,7
500034,7
500035,7
500036,7
500037,7
500038,7
500039,7
500040,7
500041,7
500042,7
500043,7
500044,7
500045,7
500046,7
500047,7
500048,7
500049,7
500050,7
500051,7
500052,7
500053,7
500054,7
500055,7
500056,7
500057,7
500058,7
500059,7
500060,7
500061,7
500062,7
500063,7
500064,7
500065,7
500066,7
500067,7
500068,7
500069,7
500070,7
500072,7
500073,7
500074,7
500076,7
500077,7
500078,7
500079,7
500080,7
500081,7
500082,7
500083,7
500085,7
500086,7
500087,7
500088,7
500089,7
500090,7
500091,7
500092,7
500093,7
500094,7
500095,7
500096,7
500097,7
500098,7
500100,7
500101,7
501102,7
501301,7
500000,7
500071,7
500105,7
500109,7
500133,7
500171,7
500195,7
500218,7
500252,7
500253,7
500258,7
500264,7
500265,7
500266,7
500267,7
500361,7
500380,7
500457,7
500463,7
500482,7
500484,7
500486,7
500556,7
500587,7
500593,7
500594,7
500625,7
500659,7
500660,7
500661,7
500762,7
500768,7
500855,7
500872,7
500873,7
500890,7
500963,7
501513,7
509330,7
500075,7
501401,7
501101,7
500107,7
500110,7
500103,7
509133,7
505001,8
505101,8
505102,8
505122,8
505129,8
505152,8
505153,8
505162,8
505172,8
505174,8
505184,8
505185,8
505186,8
505187,8
505188,8
505209,8
505210,8
505211,8
505212,8
505214,8
505215,8
505301,8
505302,8
505303,8
505304,8
505305,8
505306,8
505307,8
505326,8
505330,8
505331,8
505401,8
505402,8
505403,8
505404,8
505405,8
505415,8
505416,8
505425,8
505445,8
505450,8
505451,8
505452,8
505453,8
505454,8
505455,8
505460,8
505462,8
505466,8
505467,8
505468,8
505469,8
505470,8
505471,8
505472,8
505473,8
505474,8
505475,8
505476,8
505480,8
505481,8
505490,8
505497,8
505498,8
505501,8
505502,8
505503,8
505504,8
505505,8
505514,8
505524,8
505525,8
505526,8
505527,8
505528,8
505529,8
505530,8
505531,8
505532,8
505002,8
505173,8
505309,8
505407,8
505408,8
505410,8
505412,8
505413,8
505417,8
505459,8
505533,8
505545,8
505567,8
507001,9
507002,9
507003,9
507101,9
507103,9
507113,9
507114,9
507115,9
507116,9
507117,9
507118,9
507119,9
507120,9
507121,9
507122,9
507123,9
507124,9
507125,9
507128,9
507129,9
507133,9
507134,9
507135,9
507136,9
507137,9
507138,9
507140,9
507154,9
507157,9
507158,9
507159,9
507160,9
507161,9
507163,9
507164,9
507165,9
507166,9
507167,9
507168,9
507169,9
507170,9
507182,9
507183,9
507201,9
507202,9
507203,9
507204,9
507208,9
507209,9
507210,9
507211,9
507301,9
507302,9
507303,9
507304,9
507305,9
507306,9
507316,9
507318,9
507004,9
507106,9
507112,9
507126,9
507127,9
507131,9
507132,9
507139,9
507141,9
507151,9
507152,9
507153,9
507156,9
507162,9
507172,9
507173,9
507174,9
507175,9
507176,9
507177,9
507206,9
